text,label
This is my bear in my opinion.,animals
"Honestly, I saw tiger yesterday",animals
"Before going to sleep, I remembered bear as usual.",animals
I like cat for me.,animals
Have you ever tried tiger? for me.,animals
"Basically, Even though I was busy, I still thought about deer for me.",animals
"Actually, What do you think about horse?",animals
"Basically, After a long day, I decided to focus on lion right now.",animals
"Well, I see the elephant right now.",animals
"Basically, I have a dog",animals
"Actually, In my opinion, bird plays a big role in our life",animals
People often underestimate how important deer is as usual.,animals
"Actually, Why do people love dog? right now.",animals
I often use fox in my life,animals
"Actually, I saw bear yesterday",animals
"Basically, This is my tiger in my opinion.",animals
"You know, Even though I was busy, I still thought about horse these days.",animals
"Well, In my opinion, bird plays a big role in our life in my opinion.",animals
"While working, I realized how important deer is these days.",animals
"Well, Before going to sleep, I remembered wolf these days.",animals
"Actually, I have always been interested in horse for me.",animals
Yesterday I was thinking about bear and its importance for me.,animals
"Basically, Yesterday I was thinking about cat and its importance in my opinion.",animals
"You know, I often use dog in my life for me.",animals
"Basically, Do you like bear? every day.",animals
"Honestly, I want to try lion soon for me.",animals
"Actually, Why do people love deer? as usual.",animals
"You know, I have always been interested in fox for me.",animals
"To be honest, Have you ever tried lion?",animals
"Honestly, This is my cat these days.",animals
Sometimes I cannot imagine my life without bear as usual.,animals
"To be honest, Where can I find rabbit? in my opinion.",animals
I like wolf in my opinion.,animals
Yesterday I was thinking about bear and its importance in my opinion.,animals
"To be honest, I really like rabbit",animals
"Actually, Before going to sleep, I remembered deer these days.",animals
"Actually, This is my wolf for me.",animals
"Honestly, In my opinion, lion plays a big role in our life",animals
"To be honest, Yesterday I was thinking about fox and its importance",animals
"Actually, In my opinion, dog plays a big role in our life for me.",animals
I saw cat yesterday,animals
Do you like deer? these days.,animals
"To be honest, While working, I realized how important lion is these days.",animals
"Basically, Have you ever tried elephant? for me.",animals
"Well, Before going to sleep, I remembered wolf in my opinion.",animals
"You know, While working, I realized how important rabbit is every day.",animals
People often underestimate how important wolf is for me.,animals
"You know, I have a tiger",animals
"Well, Why do people love fox? for me.",animals
I have a cat for me.,animals
"You know, I love dog",animals
"Actually, I saw wolf yesterday every day.",animals
"Honestly, Why do people love tiger? every day.",animals
"Basically, Do you like tiger? for me.",animals
"Basically, This is my dog right now.",animals
"To be honest, Sometimes I cannot imagine my life without rabbit",animals
"Even though I was busy, I still thought about bear",animals
"You know, Before going to sleep, I remembered rabbit",animals
"Well, I often use tiger in my life every day.",animals
"Honestly, Sometimes I cannot imagine my life without lion in my opinion.",animals
I saw horse yesterday every day.,animals
This is my wolf,animals
"Honestly, I saw dog yesterday as usual.",animals
"Well, Do you like horse? as usual.",animals
"Basically, I really like cat",animals
"To be honest, I want to try rabbit soon in my opinion.",animals
"To be honest, After a long day, I decided to focus on rabbit these days.",animals
"Well, tiger is very important to me",animals
"Before going to sleep, I remembered fox right now.",animals
"To be honest, I love cat these days.",animals
Have you ever tried cat? these days.,animals
Where can I find dog? for me.,animals
"Well, This is my rabbit",animals
"Basically, I have a fox right now.",animals
"You know, I often use elephant in my life for me.",animals
"Honestly, I have always been interested in elephant in my opinion.",animals
Yesterday I was thinking about horse and its importance,animals
Where can I find horse?,animals
"Actually, I often use wolf in my life these days.",animals
"Well, I have a bird right now.",animals
"To be honest, I really like elephant in my opinion.",animals
"Even though I was busy, I still thought about fox in my opinion.",animals
"Honestly, This is my bear in my opinion.",animals
"Honestly, This is my dog in my opinion.",animals
"Well, Where can I find elephant? right now.",animals
"Actually, While working, I realized how important tiger is every day.",animals
I love elephant as usual.,animals
I love elephant right now.,animals
"Actually, Even though I was busy, I still thought about lion these days.",animals
"Basically, People often underestimate how important deer is",animals
"Honestly, I have a dog",animals
"Honestly, What do you think about bird? as usual.",animals
"Actually, I love lion right now.",animals
"Well, In my opinion, cat plays a big role in our life for me.",animals
"You know, This is my bear as usual.",animals
"Honestly, Before going to sleep, I remembered fox for me.",animals
"Basically, I really like lion",animals
"You know, Before going to sleep, I remembered lion as usual.",animals
"Well, Before going to sleep, I remembered bear in my opinion.",animals
"After a long day, I decided to focus on lion as usual.",animals
"Well, Do you like cat? for me.",animals
"Actually, In my opinion, horse plays a big role in our life for me.",animals
"Well, I like tiger as usual.",animals
I want to try bird soon in my opinion.,animals
"Basically, Even though I was busy, I still thought about bird right now.",animals
"Actually, This is my cat these days.",animals
I want to try fox soon,animals
"You know, Sometimes I cannot imagine my life without fox right now.",animals
Where can I find rabbit? as usual.,animals
