unique_words,words_a1,words_a2,words_b1,words_b2,avg_acc_7d,avg_acc_30d,avg_time_sec,words_day_7d,words_day_30d,streak,sessions_week,target_days_b2
2307,584,881,773,0,0.8948389399907436,0.8427276551924712,4.0,18,16,115,3,100.0140918290214
1874,517,864,493,0,0.99,0.83,10.1,24,25,59,17,97.0
3348,524,931,1653,126,0.8161717804311177,0.7223379901649754,11.0,38,43,15,15,27.554902850852834
2524,557,913,1054,0,0.85,0.9,9.8,11,21,72,14,76.0
648,483,64,0,0,0.6715871508233244,0.7677947352593452,7.0,6,15,39,13,254.22193478640204
3714,594,920,1542,658,0.78,0.84,4.9,7,22,37,9,13.0
481,441,0,0,0,0.8850055450457904,0.8627925993637205,13.0,0,7,133,11,497.00880327279003
3290,420,827,1829,214,0.91,0.83,4.1,57,40,104,6,20.0
3673,397,1013,1876,261,0.9636727046054162,0.8527601272780958,11.0,0,9,0,9,70.41808506329058
603,459,104,0,0,0.7080044360366323,0.7825328226787233,4.0,19,16,141,4,281.6723402531623
3124,535,993,1281,0,0.6614115879320619,0.6880238536739586,9.0,27,21,32,5,56.38385324056388
1749,436,776,326,0,0.7021138394971118,0.6880238536739586,7.0,34,32,92,10,83.09199424925204
902,420,453,0,0,0.698171041091679,0.6621431576512274,13.0,44,44,149,15,109.19905944597234
1769,443,909,376,0,0.9145057298806502,0.8728250714493452,13.0,29,26,60,12,113.28126727572831
319,293,0,0,0,0.6785042512017726,0.7223379901649754,7.0,21,31,131,2,124.50733880755725
4001,444,1172,1661,724,0.66,0.64,13.5,26,30,7,7,0.0
2368,438,1206,677,0,0.7178378309815855,0.7323704622506,10.0,7,19,122,3,128.58954663731322
4781,588,1006,1916,1271,0.83,0.88,12.8,9,18,5,18,0.0
864,494,242,0,0,0.8954495344310992,0.857536977042905,4.0,1,11,115,13,284.886837426007
2701,422,1005,1274,0,0.74,0.8,8.6,51,33,52,19,36.0
616,414,108,0,0,0.8140450313009993,0.857536977042905,10.0,47,30,148,13,117.71365851977372
96,88,0,0,0,0.9243391248256032,0.9129549597918438,3.0,35,35,31,9,107.15795553109436
3684,400,1176,1911,197,0.95,0.79,9.3,23,28,68,18,11.0
4406,403,814,1977,1212,0.66,0.75,12.1,21,30,57,16,0.0
2981,429,1080,1472,0,0.65,0.74,8.3,9,13,58,9,72.0
904,528,376,0,0,0.66,0.73,14.8,31,19,123,17,203.0
3507,533,1028,1726,220,0.72,0.69,10.6,28,22,111,7,28.0
4578,473,876,1662,1319,0.9538393096604629,0.8025977668499726,3.0,13,18,32,16,0.0
2252,457,1081,449,0,0.9056250973223617,0.7677947352593452,11.0,61,40,147,14,47.481139571001165
4314,486,992,2028,451,0.8954495344310992,0.8076801760520385,10.0,39,21,144,18,0.0
1993,513,925,503,0,0.7178378309815855,0.792565294764348,8.0,5,18,18,11,170.432176892312
1263,457,631,0,0,0.8140450313009993,0.8176515362502117,13.0,41,24,91,19,125.62718178160723
936,484,452,0,0,0.84,0.83,6.0,16,26,92,1,126.0
858,526,290,0,0,0.6588374613118663,0.7223379901649754,8.0,5,19,152,15,224.52143063657866
1594,521,854,0,0,0.8038694684097368,0.6979952138721319,12.0,4,14,43,10,210.69755684631767
2015,444,1179,392,0,0.72,0.8,14.4,2,10,1,17,237.0
1495,398,896,0,0,0.7733427797359493,0.8276228964483849,4.0,28,22,119,18,102.87580240383585
101,101,0,0,0,0.76,0.76,12.7,30,32,81,15,143.0
4637,438,945,1737,1517,0.66,0.68,10.8,18,26,2,9,0.0
3689,532,1108,1856,193,0.89,0.91,4.6,15,27,146,11,10.0
1360,381,795,0,0,0.9666784746699366,0.9672219392228114,10.0,49,31,147,4,80.12442302606446
3501,531,1005,1571,268,0.7768382006513049,0.8025977668499726,6.0,51,40,11,7,26.53435089341384
4050,419,829,1876,926,0.84,0.89,4.0,17,16,10,3,0.0
90,82,0,0,0,0.7178378309815855,0.8627925993637205,5.0,8,10,114,5,447.0017573582793
357,327,0,0,0,0.6293372764770065,0.8126302389355973,7.0,17,26,57,6,178.59659255182393
2603,540,1264,742,0,0.9145057298806502,0.9430523760487177,12.0,10,19,97,16,82.66470855255851
4046,481,947,1692,926,0.81,0.9,12.5,7,13,123,5,0.0
2029,560,820,649,0,0.73,0.83,8.8,12,24,76,6,76.0
4857,381,970,1828,1343,0.6919382766058494,0.6680811332776121,5.0,1,8,104,17,0.0
2535,427,1164,890,0,0.9046723349356969,0.8728250714493452,9.0,42,38,109,2,44.90428612731573
2524,543,909,1072,0,0.94,0.94,7.0,9,21,96,2,51.0
431,362,0,0,0,0.8750984086485741,0.7478520148629986,7.0,12,15,99,7,277.9625045719026
2681,437,885,1089,0,0.8038694684097368,0.7279092944666519,11.0,18,22,41,8,81.11361343379365
2252,425,1070,757,0,0.63,0.66,12.1,8,13,40,3,209.0
3939,551,904,1806,511,0.9440059147155098,0.9430523760487177,10.0,38,41,69,1,6.123311744633963
3722,434,958,1829,361,0.6195038815320533,0.7123055180793506,4.0,37,27,88,7,28.575454808291827
4022,424,838,1920,840,0.8,0.83,13.9,40,33,78,19,0.0
4773,550,1233,1815,961,0.8948389399907436,0.9129549597918438,7.0,19,15,113,2,0.0
1785,510,1047,192,0,0.9145057298806502,0.8326951831068465,10.0,36,25,88,14,102.05519574389939
4113,451,965,1748,949,0.84,0.77,9.8,13,25,147,6,0.0
1806,524,1136,146,0,0.96,0.92,14.4,32,34,83,1,56.0
5046,421,1115,1627,1612,0.9833394944953227,0.8728250714493452,5.0,38,42,162,8,0.0
827,403,395,0,0,0.698171041091679,0.6922405739081013,5.0,22,19,75,6,236.76805412584656
2168,472,1105,326,0,1.0,0.8076801760520385,11.0,32,19,89,16,107.8217544424818
4269,400,1046,1842,981,0.63,0.68,13.4,46,32,21,3,0.0
1584,591,844,149,0,0.92,0.76,11.8,48,41,20,10,78.0
1037,590,447,0,0,0.92,0.91,6.6,39,35,104,9,86.0
667,587,80,0,0,0.88,0.8,9.3,22,29,5,13,151.0
