text,label
I have always believed that office is important,work
I love office,work
I have always believed that cat is important,animals
I really like apple,food
I love my AI and my football,technology
I love my apple and my dog,food
I enjoy burger with my tennis,food
I really like mother,family
My father is very important to me,family
I love football,sport
I enjoy father every day,family
I enjoy office with my pizza,work
I enjoy lion every day,animals
I love mother,family
I really like mother,family
I love tiger,animals
I love office,work
I miss my family, family
My dog is my best friend, friend
I hate fast food, food
I work from home, work
AI is changing everything, work
I love my software and my tiger,technology
I really like tennis,sport
I enjoy sister every day,family
I enjoy football every day,sport
I enjoy tennis every day,sport
I love my pizza and my tiger,food
I really like father,family
I spend a lot of time with AI,technology
I love my basketball and my lion,sport
I love my brother and my cat,family
I enjoy job with my mother,work
I really like computer,technology
I really like dog,animals
My mother is very important to me,family
I really like football,sport
My sister is very important to me,family
I love burger,food
I spend a lot of time with office,work
I have always believed that computer is important,technology
I spend a lot of time with basketball,sport
My basketball is very important to me,sport
I love my meeting and my software,work
My software is very important to me,technology
I really like mother,family
My mother is very important to me,family
My AI is very important to me,technology
My sister is very important to me,family
My computer and burger are important in my life,technology
I love tennis,sport
I enjoy basketball with my apple,sport
I enjoy apple with my cat,food
I enjoy basketball every day,sport
I love my pasta and my meeting,food
I love my brother and my football,family
My mother and software are important in my life,family
I really like tiger,animals
My apple and cat are important in my life,food
I enjoy meeting every day,work
I love tiger,animals
I really like computer,technology
I enjoy software every day,technology
I spend a lot of time with tiger,animals
I really like job,work
My job and mother are important in my life,work
I really like apple,food
I love cat,animals
My brother and tiger are important in my life,family
I enjoy tennis every day,sport
I love my basketball and my dog,sport
I love pizza,food
I have always believed that meeting is important,work
I enjoy dog every day,animals
I enjoy software every day,technology
I really like lion,animals
I love AI,technology
I really like meeting,work
I love pasta,food
I have always believed that meeting is important,work
I enjoy cat every day,animals
I love my tennis and my job,sport
I really like office,work
I spend a lot of time with dog,animals
I spend a lot of time with football,sport
I enjoy tennis every day,sport
I love my dog and my brother,animals
I spend a lot of time with AI,technology
My software and computer are important in my life,technology
I really like office,work
I love brother,family
I have always believed that dog is important,animals
I spend a lot of time with meeting,work
I have always believed that meeting is important,work
I love AI,technology
I enjoy burger every day,food
My tennis and meeting are important in my life,sport
My tennis and lion are important in my life,sport
I spend a lot of time with burger,food
I enjoy mother every day,family
My sister is very important to me,family
My job is very important to me,work
I spend a lot of time with AI,technology
I really like pasta,food
I enjoy dog with my lion,animals
I enjoy software with my cat,technology
I really like AI,technology
I enjoy tennis with my office,sport
I love my office and my tennis,work
I have always believed that meeting is important,work
I really like sister,family
I enjoy computer with my software,technology
I really like tennis,sport
I have always believed that brother is important,family
I enjoy sister every day,family
I have always believed that dog is important,animals
I have always believed that job is important,work
I spend a lot of time with basketball,sport
I love office,work
My mother is very important to me,family
My sister is very important to me,family
I love my football and my football,sport
My pizza and tiger are important in my life,food
I love my job and my dog,work
I spend a lot of time with tennis,sport
I love my basketball and my dog,sport
I love sister,family
My office and basketball are important in my life,work
I enjoy brother every day,family
I love AI,technology
My brother is very important to me,family
I enjoy father with my pizza,family
I enjoy meeting every day,work
I have always believed that pizza is important,food
I have always believed that job is important,work
I love burger,food
I enjoy tiger every day,animals
I enjoy office with my dog,work
I really like basketball,sport
I enjoy office every day,work
My mother is very important to me,family
I have always believed that burger is important,food
My football and football are important in my life,sport
I have always believed that AI is important,technology
I love software,technology
I have always believed that tiger is important,animals
My tiger is very important to me,animals
I love my tennis and my office,sport
I love my apple and my mother,food
I enjoy computer with my tiger,technology
I spend a lot of time with mother,family
I really like apple,food
I love software,technology
I have always believed that pasta is important,food
I really like apple,food
I enjoy tennis every day,sport
I really like basketball,sport
I enjoy office every day,work
I really like office,work
I love meeting,work
My cat is very important to me,animals
I love my job and my sister,work
I really like cat,animals
My pizza is very important to me,food
My tiger is very important to me,animals
I love my dog and my meeting,animals
I love job,work
I really like lion,animals
I enjoy pizza every day,food
My pasta and lion are important in my life,food
I enjoy football with my basketball,sport
My apple is very important to me,food
My brother is very important to me,family
My office and pizza are important in my life,work
I have always believed that software is important,technology
My burger is very important to me,food
I spend a lot of time with computer,technology
I have always believed that burger is important,food
I enjoy office every day,work
