unique_words,words_a1,words_a2,words_b1,words_b2,avg_acc_7d,avg_acc_30d,avg_time_sec,words_day_7d,words_day_30d,streak,sessions_week,target_days_b2
910,414,496,0,0,0.91,0.88,8.3,22,18,88,4,140
180,180,0,0,0,0.61,0.8,13.0,37,21,21,1,196
4167,488,848,1974,857,0.84,0.75,6.5,15,17,51,12,0
1317,463,854,0,0,0.94,0.91,8.4,17,12,89,14,230
2874,489,852,1533,0,0.87,0.82,4.5,7,23,81,4,43
3123,533,853,1605,132,0.83,0.72,13.1,43,40,14,16,27
3848,589,1095,1712,452,0.76,0.73,12.9,25,27,124,13,5
2112,444,864,804,0,0.99,0.95,5.4,23,19,81,8,94
4524,404,1030,1540,1550,0.97,0.95,8.4,32,29,62,5,0
2781,503,1013,1265,0,0.82,0.79,14.7,2,3,5,14,303
4538,414,1145,1541,1438,0.78,0.73,13.7,48,42,132,5,0
1728,570,828,330,0,0.98,0.91,11.3,27,16,45,6,133
3677,483,1085,1945,164,0.82,0.87,13.8,38,37,129,13,9
759,599,160,0,0,0.79,0.84,6.2,23,21,59,9,148
1903,585,851,467,0,0.7,0.75,6.6,48,34,113,2,68
904,528,376,0,0,0.66,0.73,14.8,31,19,123,17,203
2377,468,1171,738,0,0.85,0.83,4.1,32,22,124,6,79
1844,547,1051,246,0,0.69,0.79,12.7,19,27,52,9,93
2435,503,928,1004,0,0.74,0.69,14.1,29,34,7,16,73
1066,459,607,0,0,0.7,0.67,13.8,36,36,9,9,111
2305,530,951,824,0,0.91,0.88,4.0,7,15,112,3,126
3011,527,1165,1319,0,0.79,0.79,14.9,35,36,68,1,29
4037,527,1191,1634,685,0.89,0.81,9.5,58,42,119,14,0
1743,437,1029,277,0,0.79,0.88,8.2,20,27,97,15,79
4598,460,1103,1646,1389,0.83,0.87,3.5,43,37,46,6,0
1110,423,687,0,0,0.77,0.88,14.6,32,28,67,18,100
619,466,153,0,0,0.63,0.66,11.1,22,14,127,10,353
834,503,331,0,0,0.88,0.81,6.5,54,42,99,18,88
574,459,115,0,0,0.8,0.86,10.8,45,32,142,12,119
1216,491,725,0,0,0.64,0.73,3.4,24,25,58,17,103
3904,453,900,1980,571,0.93,0.82,14.6,38,23,6,13,4
4192,498,1110,1923,661,0.89,0.94,9.2,29,26,145,19,0
3725,457,1145,1728,395,0.67,0.65,8.1,11,8,58,1,43
609,488,121,0,0,0.71,0.85,11.9,4,15,93,3,199
1729,578,885,266,0,0.74,0.69,4.1,29,19,144,16,162
1685,432,1053,200,0,0.86,0.74,14.4,35,36,138,19,72
2866,468,803,1515,80,0.63,0.74,3.3,31,31,84,12,39
2477,432,978,1067,0,0.98,0.87,14.5,9,21,141,12,58
4019,434,1014,1836,735,0.86,0.81,11.2,33,22,58,18,0
1566,474,1092,0,0,0.89,0.91,6.4,9,11,99,16,172
2193,551,950,692,0,0.82,0.76,11.2,22,25,99,9,75
4002,461,883,1867,791,0.76,0.74,4.2,35,25,147,12,0
4410,598,1083,1705,1024,0.87,0.83,8.9,15,12,99,12,0
2988,452,950,1586,0,0.92,0.78,8.9,38,28,122,5,42
782,474,308,0,0,0.99,0.93,13.0,16,13,141,8,183
3043,426,921,1693,3,0.63,0.63,14.8,47,26,86,17,57
4362,444,931,1791,1196,0.75,0.69,12.3,53,42,90,19,0
4184,525,972,1640,1047,0.76,0.8,11.9,7,6,131,13,0
4335,590,1168,1908,669,0.95,0.82,14.6,43,39,61,15,0
4225,517,1012,1702,994,0.97,0.83,11.3,56,39,47,9,0
3426,413,942,1914,157,1.0,0.94,7.6,22,18,12,10,38
407,407,0,0,0,0.85,0.78,5.3,25,18,60,18,193
4186,591,944,1700,951,0.72,0.82,11.2,28,22,46,3,0
3374,533,881,1870,90,0.89,0.87,8.0,55,44,109,5,11
1874,517,864,493,0,0.99,0.83,10.1,24,25,59,17,97
1683,504,898,281,0,0.61,0.62,11.3,4,19,133,6,191
3686,564,1001,1957,164,0.75,0.72,5.5,0,8,0,4,48
4633,431,833,1847,1522,0.71,0.66,9.0,53,30,123,18,0
4413,592,853,1735,1233,0.82,0.89,7.8,47,37,85,14,0
4723,474,902,1921,1426,0.85,0.92,10.3,17,25,79,19,0
4592,451,1048,1665,1428,0.78,0.87,6.6,41,31,133,4,0
187,187,0,0,0,0.97,0.88,6.1,23,16,34,6,241
4350,525,1034,1542,1249,0.7,0.66,4.5,54,37,95,11,0
3495,543,807,1887,258,0.67,0.71,13.8,2,16,93,18,38
3172,546,1076,1504,46,0.74,0.74,3.4,5,5,133,9,176
3167,433,877,1717,140,0.88,0.75,12.6,56,41,56,11,26
3694,480,825,1791,598,0.92,0.91,5.2,14,20,14,14,15
414,414,0,0,0,0.61,0.66,11.6,46,36,107,15,102
3395,437,1026,1870,62,0.7,0.7,7.5,9,15,86,12,42
3646,424,867,1893,462,0.92,0.86,4.0,46,36,34,15,11
2522,500,805,1217,0,0.86,0.84,7.3,44,27,121,1,43
2374,597,869,908,0,0.66,0.67,6.4,30,29,55,9,58
292,292,0,0,0,0.61,0.74,15.0,5,5,75,4,667
167,167,0,0,0,0.7,0.69,11.0,56,31,79,11,154
1191,467,724,0,0,0.68,0.79,9.4,0,15,0,14,217
1878,525,938,415,0,0.73,0.78,7.4,55,34,5,10,93
2110,567,929,614,0,0.7,0.79,12.1,10,14,38,3,143
1654,461,1035,158,0,0.65,0.77,14.3,11,25,35,1,119
3015,459,1119,1437,0,0.66,0.79,5.4,29,34,5,19,38
2671,531,888,1252,0,0.84,0.85,8.4,39,28,32,19,52
4720,542,952,1644,1582,0.96,0.86,9.5,39,24,134,3,0
1252,599,653,0,0,0.66,0.79,10.4,51,42,38,1,79
1000,432,568,0,0,0.68,0.78,8.9,9,23,118,6,140
3278,535,1060,1656,27,0.69,0.79,11.6,30,30,43,5,30
3375,473,1159,1537,206,0.69,0.73,6.5,42,29,141,8,24
1034,510,524,0,0,0.95,0.96,9.8,3,6,120,5,464
3227,491,1086,1650,0,0.63,0.63,4.3,40,33,11,1,30
3526,489,909,1919,209,0.65,0.81,13.4,54,36,149,15,11
251,251,0,0,0,0.92,0.76,7.0,51,40,90,11,119
3331,561,1146,1516,108,0.83,0.72,14.0,53,40,25,7,18
3622,487,960,1676,499,0.91,0.81,5.6,49,37,49,7,12
3482,576,947,1617,342,0.94,0.88,5.2,6,5,141,19,86
772,461,311,0,0,0.79,0.82,7.5,15,19,18,1,217
3107,593,912,1602,0,0.8,0.85,4.2,7,20,55,7,48
1531,509,961,61,0,0.92,0.96,13.1,6,19,8,1,135
2540,471,853,1216,0,0.92,0.8,10.8,46,29,35,14,59
2588,543,964,1081,0,0.68,0.7,13.8,6,10,7,1,174
4292,511,1180,1902,699,0.83,0.8,13.7,46,27,148,11,0
1459,594,865,0,0,0.71,0.78,7.9,29,21,53,12,117
3627,485,1163,1779,200,0.65,0.74,14.8,22,29,114,19,14
4666,439,1036,1780,1411,0.7,0.68,13.0,3,16,29,13,0
2707,436,874,1397,0,0.97,0.81,9.9,37,37,17,5,43
4733,486,916,1861,1470,0.66,0.68,6.2,26,32,12,13,0
504,504,0,0,0,0.97,0.87,7.6,57,31,54,11,96
3413,514,1081,1528,290,0.76,0.74,7.3,48,43,54,2,15
2761,549,868,1344,0,0.69,0.65,6.1,34,27,109,11,54
203,203,0,0,0,0.79,0.76,7.2,0,14,0,11,369
4170,438,1090,1630,1012,0.63,0.62,14.6,37,37,12,19,0
1686,443,1104,139,0,0.92,0.9,9.3,11,15,83,8,151
3202,517,997,1688,0,0.7,0.75,5.7,25,27,47,10,35
450,450,0,0,0,0.82,0.81,6.8,14,12,137,19,357
1571,458,1014,99,0,0.79,0.87,13.1,17,19,14,3,144
180,180,0,0,0,0.88,0.81,11.7,43,31,120,17,129
970,540,430,0,0,0.81,0.79,13.5,1,20,34,13,174
3860,522,838,1801,699,0.74,0.82,7.8,52,36,121,10,3
3480,483,1188,1564,245,0.7,0.67,7.3,29,18,146,5,29
754,580,174,0,0,0.64,0.7,4.5,58,34,39,14,125
1918,552,998,368,0,0.63,0.69,13.1,53,33,107,2,72
986,402,584,0,0,0.74,0.68,14.6,48,30,99,17,106
2516,577,1137,802,0,1.0,0.98,8.6,12,20,73,4,65
3731,410,904,1939,478,0.71,0.68,13.7,24,31,76,10,11
4185,424,1060,1894,807,0.63,0.7,7.5,7,8,90,18,0
4599,436,1115,1675,1373,0.87,0.75,13.2,39,37,62,19,0
2795,466,855,1474,0,0.87,0.85,6.2,5,16,147,16,78
1754,412,1162,180,0,0.88,0.88,10.4,37,24,133,11,105
2858,430,822,1606,0,0.65,0.69,11.9,30,26,100,2,59
2062,411,1094,557,0,0.71,0.78,14.8,16,25,98,13,91
2564,557,873,1134,0,0.99,0.86,10.6,29,31,22,4,43
4629,467,1018,1691,1453,0.88,0.76,10.0,0,13,0,18,0
2403,413,991,999,0,0.99,0.94,4.6,11,11,29,11,158
4049,578,857,1970,644,0.78,0.74,15.0,16,27,141,9,0
88,88,0,0,0,0.81,0.87,6.6,31,18,84,11,189
2946,525,1035,1386,0,0.77,0.88,8.0,58,41,6,19,26
4715,523,814,1661,1717,0.69,0.65,10.8,11,16,15,12,0
2305,426,871,1008,0,0.67,0.81,12.3,14,22,50,7,85
1009,571,438,0,0,0.96,0.98,5.2,14,21,17,12,124
570,565,5,0,0,0.86,0.8,10.1,7,11,64,13,280
3910,417,1119,1837,537,0.79,0.82,6.5,44,36,33,6,3
828,578,250,0,0,0.66,0.65,9.9,14,17,54,1,249
4387,496,801,1724,1366,0.64,0.69,3.4,51,40,103,2,0
139,139,0,0,0,0.88,0.9,5.4,54,34,61,3,122
2106,405,872,829,0,0.85,0.78,14.2,7,19,62,15,119
2104,483,1007,614,0,0.84,0.88,8.8,40,29,12,12,61
1316,521,795,0,0,0.99,0.86,5.2,54,45,51,12,60
711,436,275,0,0,0.82,0.81,4.0,50,44,93,15,69
3938,493,1012,1658,775,0.77,0.85,10.5,27,25,50,17,2
1323,516,807,0,0,0.79,0.87,13.8,5,10,131,13,252
3008,498,1081,1429,0,0.76,0.8,10.6,13,15,2,5,93
3102,440,1117,1545,0,0.76,0.8,10.0,19,12,70,17,74
2090,427,865,798,0,0.86,0.8,12.3,55,41,47,11,58
679,413,266,0,0,0.81,0.77,12.9,0,4,0,8,901
2410,463,1173,774,0,0.75,0.8,7.3,11,21,111,15,81
1324,588,736,0,0,0.99,0.82,5.8,25,29,1,3,109
3878,458,1124,1660,636,0.8,0.71,4.8,52,40,43,2,3
3918,584,838,1722,774,0.7,0.76,7.1,37,30,128,13,2
2019,523,1174,322,0,0.99,0.81,11.1,31,20,86,15,109
2524,557,913,1054,0,0.85,0.9,9.8,11,21,72,14,76
3122,546,1086,1490,0,0.93,0.9,9.9,27,16,63,9,58
2682,476,958,1248,0,0.64,0.75,12.2,3,13,82,13,125
900,508,392,0,0,0.75,0.73,10.8,20,19,65,12,193
2240,548,1115,577,0,0.78,0.74,7.5,43,36,11,3,55
2939,593,1064,1282,0,0.82,0.9,13.2,27,30,12,5,36
3414,443,1027,1770,174,0.76,0.79,12.0,43,34,107,16,19
764,450,314,0,0,0.68,0.74,5.3,13,10,117,14,338
155,155,0,0,0,0.84,0.87,6.3,3,16,89,11,196
3229,473,838,1896,22,0.67,0.7,12.5,41,32,118,7,32
1758,505,846,407,0,0.6,0.73,9.2,27,20,26,9,149
2475,520,924,1031,0,0.96,0.85,5.8,36,22,50,19,79
3323,488,945,1890,0,0.85,0.82,10.0,46,42,108,2,16
711,575,136,0,0,0.86,0.85,9.6,9,11,78,13,304
819,463,356,0,0,0.84,0.85,8.3,38,26,24,14,111
1291,501,790,0,0,0.96,0.94,6.2,36,36,131,9,62
1964,469,995,500,0,0.81,0.72,12.6,26,31,149,8,87
1635,466,1099,70,0,0.78,0.73,3.6,43,24,102,17,134
1544,429,915,200,0,0.83,0.73,14.5,28,31,47,16,89
682,454,228,0,0,0.6,0.66,14.8,2,11,30,13,352
4775,404,1159,1747,1465,0.82,0.88,9.3,5,15,32,1,0
1062,415,647,0,0,0.66,0.64,4.4,22,14,105,2,318
2546,474,1122,950,0,0.71,0.84,13.5,5,22,143,5,62
4157,448,841,1665,1203,0.93,0.84,13.5,29,23,134,3,0
3969,406,813,1572,1178,0.73,0.67,4.8,34,28,20,18,1
2035,424,1052,559,0,0.73,0.78,4.7,15,11,134,13,179
3014,595,824,1578,17,0.99,0.9,14.6,31,31,141,14,33
3086,459,1189,1438,0,0.69,0.77,10.8,18,26,5,19,39
4787,525,1066,1677,1519,0.62,0.75,14.8,18,15,99,9,0
1229,589,640,0,0,0.67,0.77,10.4,3,12,101,7,220
3342,451,923,1921,47,0.77,0.71,13.6,34,22,92,14,30
2695,532,982,1181,0,0.65,0.71,12.5,20,17,58,7,94
3134,580,1137,1417,0,0.98,0.89,4.3,59,37,149,4,25
4769,481,1031,1726,1531,0.75,0.75,8.5,20,18,113,9,0
66,66,0,0,0,0.86,0.92,12.7,47,40,97,10,104
4145,587,1031,1776,751,0.93,0.86,7.6,21,16,79,17,0
3976,487,972,1966,551,0.64,0.82,8.3,7,12,87,11,2
3556,551,951,1516,538,0.98,0.94,7.2,45,30,143,19,13
612,585,27,0,0,0.82,0.88,3.8,9,22,112,17,134
3889,503,1128,1949,309,0.87,0.74,6.1,3,10,105,9,14
4264,589,1054,1869,752,0.73,0.69,8.7,1,9,95,16,0
1361,431,930,0,0,0.66,0.64,4.3,17,15,59,14,224
3747,421,1012,1671,643,0.68,0.82,10.7,34,35,119,7,8
1306,574,732,0,0,0.85,0.77,14.7,45,28,86,11,94
3918,412,1057,1528,921,0.87,0.76,14.6,14,20,88,12,4
3804,564,988,1852,400,0.8,0.76,9.8,28,31,39,12,7
3350,510,935,1861,44,0.82,0.87,11.9,2,3,132,8,108
1905,505,1153,247,0,0.72,0.81,12.8,26,28,66,9,73
2597,563,885,1149,0,0.9,0.76,11.9,13,25,121,11,67
3945,500,985,1631,829,0.75,0.81,12.4,53,46,37,6,1
2073,502,1001,570,0,0.67,0.67,7.7,16,13,4,14,237
4481,585,854,1999,1043,0.82,0.83,11.1,17,20,60,19,0
3938,462,1165,1710,601,0.62,0.68,12.4,37,36,100,19,2
4328,512,982,1980,854,0.64,0.66,10.2,58,36,57,13,0
4306,544,997,1759,1006,0.8,0.73,11.2,46,32,124,11,0
4747,543,1124,1999,1081,0.74,0.74,3.3,48,41,118,13,0
2807,480,1164,1163,0,0.98,0.84,8.2,50,29,93,5,40
753,404,349,0,0,0.65,0.64,11.7,49,44,129,4,105
735,459,276,0,0,0.65,0.78,10.9,35,30,108,10,106
1293,534,759,0,0,0.71,0.81,14.7,15,25,106,13,100
